,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,Released_after_2017,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,syuzhet_norm,bing_norm,afinn_norm,nrc_norm,syuzhet,bing,afinn,nrc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,n_words,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,negative_norm,positive_norm,anger_norm2,anticipation_norm2,disgust_norm2,fear_norm2,joy_norm2,sadness_norm2,surprise_norm2,trust_norm2,negative_norm2,positive_norm2,negative_bog_jr,positive_bog_jr,Bayes,Negative_Bayes,Neutral_Bayes,Positive_Bayes,LDA_Topic,Celebrate,Desire,Explore,Fun,Hope,Love,Nostalgia,Thug,bing_norm_negative,bing_norm_neutral,bing_norm_positive,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Denmark,Ecuador,Finland,France,Germany,Global,Indonesia,Ireland,Italy,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Poland,Portugal,Singapore,Spain,Sweden,Switzerland,Turkey,UK,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
1,8.0,adan y eva,Paulo Londra,single,argentine hip hop,11427104,False,Adan y Eva,11/5/2018,1,1,0,0,1,-4,1,0,0,0,0,0,171,258639,4,hip hop,740.0,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191,0,0,english speaking and nordic
17,581.2,it wont kill ya,The Chainsmokers - Louane,album,dance pop,16931568,False,Memories...Do Not Open,4/7/2017,7,12,0,0,6,-8,0,0,0,0,0,0,170,217613,4,pop,1314.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-7.0,-3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,274.0,0.0,0.003649635,0.0,0.003649635,0.003649635,0.00729927,0.0,0.003649635,0.01459854,0.003649635,0.0,0.166666667,0.0,0.166666667,0.166666667,0.333333333,0.0,0.166666667,0.8,0.2,0.0,0.0,-1.0,1.0,0.0,0.0,Desire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,english speaking and nordic
40,100.25,hymn,Kesha,single,dance pop,5910376,True,Hymn,8/3/2017,1,1,0,0,6,-4,1,0,0,0,0,0,67,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,english speaking and nordic
59,56.0,arrows,Foo Fighters,album,alternative metal,8092392,False,Concrete and Gold,9/15/2017,7,11,0,0,1,-7,1,0,0,0,0,0,121,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131,0,0,english speaking and nordic
81,62.4,talking to myself,Linkin Park,album,alternative metal,17132813,False,One More Light,5/19/2017,3,10,0,0,2,-6,0,0,0,0,0,0,124,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.003937008,0.003937008,0.0,0.0,0.0,0.007874016,0.003937008,0.003937008,0.011811024,0.011811024,0.166666667,0.166666667,0.0,0.0,0.0,0.333333333,0.166666667,0.166666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123,0,0,english speaking and nordic
107,948.7,icy,Logic - Gucci Mane,album,conscious hip hop,5004777,True,Confessions of a Dangerous Mind,5/10/2019,9,16,0,0,7,-4,1,0,0,0,0,0,151,265267,4,hip hop,554.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,english speaking and nordic
118,317.8,club paradise,Drake,album,canadian hip hop,50593376,True,Care Package,8/2/2019,12,17,0,0,6,-6,0,0,0,0,0,0,184,283816,4,hip hop,470.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.15,-4.0,-26.0,-5.0,12.0,10.0,7.0,6.0,10.0,8.0,9.0,11.0,17.0,12.0,646.0,0.018575851,0.015479876,0.010835913,0.009287926,0.015479876,0.012383901,0.013931889,0.017027864,0.026315789,0.018575851,0.164383562,0.136986301,0.095890411,0.082191781,0.136986301,0.109589041,0.123287671,0.150684932,0.586206897,0.413793103,7.0,19.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,1,english speaking and nordic
123,524.0,versace on the floor,Bruno Mars,album,dance pop,27355260,False,24K Magic,11/17/2016,5,9,0,0,2,-6,1,0,0,0,0,0,174,261240,4,pop,1449.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,3.55,2.0,2.0,4.0,0.0,4.0,0.0,2.0,4.0,1.0,1.0,3.0,2.0,6.0,286.0,0.0,0.013986014,0.0,0.006993007,0.013986014,0.003496503,0.003496503,0.01048951,0.006993007,0.020979021,0.0,0.266666667,0.0,0.133333333,0.266666667,0.066666667,0.066666667,0.2,0.25,0.75,0.0,4.0,1.0,0.0,0.0,1.0,Desire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,154,0,0,english speaking and nordic
157,3623.8,sixteen,Ellie Goulding,single,dance pop,8604850,False,Sixteen,4/12/2019,1,1,0,0,8,-5,1,0,0,0,0,0,109,201072,4,pop,582.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,-1.0,2.8,1.0,7.0,-2.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,7.0,5.0,221.0,0.004524887,0.009049774,0.004524887,0.018099548,0.013574661,0.009049774,0.013574661,0.013574661,0.031674208,0.022624434,0.052631579,0.105263158,0.052631579,0.210526316,0.157894737,0.105263158,0.157894737,0.157894737,0.583333333,0.416666667,0.0,6.0,1.0,0.0,0.0,1.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,english speaking and nordic
181,10629.95,betrayed,Lil Xan,album,emo rap,2094628,True,TOTAL XANARCHY,4/6/2018,12,16,0,0,10,-9,0,0,0,0,0,0,120,187173,4,rap,953.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-2.25,-6.0,-24.0,-4.0,9.0,2.0,8.0,4.0,4.0,4.0,4.0,2.0,13.0,9.0,346.0,0.026011561,0.005780347,0.023121387,0.011560694,0.011560694,0.011560694,0.011560694,0.005780347,0.037572254,0.026011561,0.243243243,0.054054054,0.216216216,0.108108108,0.108108108,0.108108108,0.108108108,0.054054054,0.590909091,0.409090909,6.0,8.0,0.0,0.0,1.0,0.0,Thug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,0,0,english speaking and nordic
