,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top50_dummy
37888,17732676.0,1.0,10.0,0.669,0.854,1.0,-4.486,1.0,0.0999,0.0205,0.0,0.047,0.707,93.057,206533.0,4.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88617,3657373.0,1.0,1.0,0.838,0.687,10.0,-5.971,0.0,0.0829,0.0452,0.0,0.233,0.569,120.032,212105.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74992,2387089.0,3.0,14.0,0.943,0.261,0.0,-8.067,1.0,0.16,0.0045,0.0114,0.104,0.0635,102.001,191813.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
80521,25013980.0,14.0,20.0,0.653,0.859,0.0,-3.048,1.0,0.0449,0.212,0.0,0.111,0.706,174.038,218387.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33478,8668809.0,14.0,15.0,0.63,0.399,5.0,-9.869,0.0,0.178,0.105,0.174,0.234,0.0657,183.016,214192.0,3.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44046,2237000.0,2.0,18.0,0.857,0.654,8.0,-6.303,1.0,0.326,0.00209,0.0,0.115,0.446,88.015,128072.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34787,1644165.0,10.0,10.0,0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87149,2237000.0,10.0,15.0,0.678,0.395,9.0,-8.639,0.0,0.12,0.411,0.00544,0.122,0.136,170.065,215067.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11565,2394814.0,1.0,2.0,0.797,0.543,11.0,-5.744,1.0,0.0439,0.0202,0.0,0.0726,0.164,115.036,222621.0,4.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88374,14439685.0,2.0,14.0,0.664,0.889,7.0,-5.675,1.0,0.155,0.101,0.0,0.111,0.927,149.955,207720.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86606,5045736.0,14.0,22.0,0.71,0.197,9.0,-13.431,1.0,0.933,0.684,0.0,0.473,0.482,130.378,133758.0,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6044,10361677.0,1.0,2.0,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
69037,537346.0,4.0,11.0,0.702,0.77,7.0,-9.411,1.0,0.128,0.00558,0.000802,0.211,0.235,118.034,225933.0,4.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43075,10361677.0,4.0,10.0,0.386,0.407,6.0,-7.095,0.0,0.0268,0.234,1.86e-06,0.0999,0.456,69.387,229813.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63550,5013742.0,2.0,13.0,0.69,0.462,8.0,-8.054,1.0,0.13,0.343,0.00218,0.113,0.325,157.655,245640.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85319,3724826.0,1.0,1.0,0.571,0.714,11.0,-5.374,1.0,0.0521,0.753,0.0,0.0897,0.464,89.067,174667.0,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58999,335208.0,4.0,19.0,0.271,0.551,2.0,-7.48,1.0,0.0457,0.582,4.16e-05,0.256,0.428,78.111,272467.0,4.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88406,4425041.0,5.0,20.0,0.481,0.852,11.0,-4.109,0.0,0.441,0.661,0.0,0.365,0.537,84.799,302120.0,4.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88947,5087482.0,4.0,10.0,0.708,0.701,0.0,-5.196,1.0,0.0328,0.031,0.0,0.392,0.504,120.932,222097.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84364,530011.0,1.0,1.0,0.714,0.483,4.0,-9.378,0.0,0.195,0.436,2.3e-05,0.28,0.67,91.025,139293.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71674,5270929.0,1.0,1.0,0.573,0.591,11.0,-6.715,0.0,0.331,0.0107,0.0,0.455,0.232,86.721,230713.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
40338,34697267.0,1.0,1.0,0.696,0.332,6.0,-12.834,1.0,0.0425,0.853,0.433,0.0848,0.0628,150.13,270520.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
86104,753117.0,3.0,9.0,0.434,0.469,0.0,-10.685,0.0,0.165,0.809,0.000215,0.0856,0.143,136.745,255720.0,4.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74278,50593376.0,17.0,17.0,0.643,0.178,4.0,-8.56,0.0,0.0588,0.484,0.0108,0.122,0.0674,85.042,189289.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8427,6429615.0,1.0,1.0,0.427,0.944,7.0,-2.885,1.0,0.0565,0.000197,0.0159,0.0625,0.248,101.078,260276.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25872,33485486.0,1.0,1.0,0.768,0.678,2.0,-5.604,1.0,0.0505,0.00838,0.0,0.0596,0.706,85.025,171387.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85860,1982751.0,1.0,1.0,0.595,0.627,1.0,-6.118,1.0,0.162,0.0726,0.0,0.128,0.0729,175.954,200000.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37306,33485486.0,7.0,16.0,0.596,0.488,4.0,-10.769,1.0,0.0274,0.9,2.7e-05,0.091,0.415,94.926,208907.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
