,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top50_dummy
88801,5184928.0,7.0,20.0,0.762,0.553,5.0,-7.207,0.0,0.112,0.55,0.0,0.115,0.773,119.973,157863.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74538,5013742.0,6.0,13.0,0.656,0.33,8.0,-8.771,1.0,0.162,0.818,0.00386,0.107,0.349,119.057,250120.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73705,34697267.0,1.0,1.0,0.704,0.225,6.0,-14.454,0.0,0.0994,0.902,0.657,0.106,0.243,120.006,245426.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12749,26265604.0,1.0,20.0,0.9,0.603,2.0,-5.313,1.0,0.0646,0.402,4.81e-06,0.134,0.824,129.928,170972.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27779,9442830.0,18.0,20.0,0.618,0.727,3.0,-7.224,0.0,0.208,0.0312,0.0,0.196,0.401,164.992,180520.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64728,4155593.0,8.0,16.0,0.275,0.276,9.0,-11.395,1.0,0.0321,0.602,0.00167,0.121,0.195,68.764,230307.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18184,5277768.0,11.0,12.0,0.638,0.522,8.0,-9.814,1.0,0.0932,0.352,0.0663,0.165,0.584,142.952,161200.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44099,2006952.0,3.0,12.0,0.628,0.639,8.0,-5.46,1.0,0.0435,0.00162,0.0,0.354,0.493,108.045,185773.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87417,833495.0,2.0,7.0,0.681,0.726,7.0,-5.1,1.0,0.0453,0.162,0.0,0.119,0.819,84.98,176729.0,4.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2655,8668809.0,12.0,15.0,0.959,0.55,5.0,-8.012,0.0,0.197,0.0187,0.0,0.112,0.798,130.024,191360.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15632,4807934.0,3.0,13.0,0.769,0.787,11.0,-3.909,1.0,0.367,0.189,0.0,0.129,0.836,126.77,159715.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18970,12691508.0,2.0,11.0,0.482,0.618,9.0,-5.673,0.0,0.197,0.647,0.000859,0.32,0.146,90.076,164620.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
61120,3088219.0,1.0,1.0,0.669,0.561,11.0,-4.923,0.0,0.209,0.157,0.0,0.0739,0.604,180.044,171096.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10303,34697267.0,12.0,14.0,0.319,0.0561,0.0,-23.023,1.0,0.045,0.935,0.00384,0.388,0.082,79.764,242652.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
31802,10065137.0,1.0,32.0,0.771,0.654,8.0,-6.976,0.0,0.298,0.055,0.0,0.214,0.573,155.047,224955.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28740,5004777.0,1.0,1.0,0.722,0.764,10.0,-5.656,0.0,0.398,0.145,0.0,0.171,0.796,139.831,245413.0,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7453,27355260.0,1.0,1.0,0.704,0.859,5.0,-4.877,0.0,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
64508,9442830.0,6.0,16.0,0.811,0.526,8.0,-7.003,1.0,0.161,0.00779,0.0642,0.13,0.248,149.954,180080.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87724,2621172.0,6.0,15.0,0.792,0.67,1.0,-7.058,0.0,0.122,0.445,0.252,0.105,0.502,107.984,226800.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24205,18439913.0,4.0,12.0,0.569,0.785,1.0,-4.057,0.0,0.0457,0.0505,1.12e-06,0.086,0.303,128.031,148387.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86585,3310268.0,9.0,16.0,0.692,0.782,5.0,-7.316,0.0,0.298,0.155,0.0,0.133,0.767,94.535,205032.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87777,1982751.0,1.0,7.0,0.591,0.627,1.0,-6.117,1.0,0.157,0.0696,0.0,0.127,0.0717,175.871,200000.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1196,3807231.0,1.0,2.0,0.844,0.644,11.0,-6.273,0.0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27252,3657373.0,10.0,12.0,0.666,0.628,8.0,-5.613,1.0,0.0623,0.144,0.0,0.189,0.767,82.992,186468.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85024,878472.0,1.0,1.0,0.655,0.785,8.0,-4.022,1.0,0.0697,0.279,0.0,0.116,0.933,171.969,178840.0,4.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87358,3143752.0,1.0,1.0,0.652,0.877,10.0,-3.584,0.0,0.155,0.294,0.0,0.0959,0.415,81.986,217482.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20811,16588925.0,1.0,12.0,0.77,0.881,8.0,-4.776,1.0,0.067,0.217,0.0,0.324,0.367,99.995,223297.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
